run_id=20260817T043257Z
start_utc=2026-08-17T04:32:57Z
interval_seconds=300
end_epoch=1787200377
----
2026-08-17T04:32:57Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=fetch failed
2026-08-17T04:37:58Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T04:43:00Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T04:48:01Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T04:53:03Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T04:58:04Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:03:06Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:08:08Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:13:09Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:18:11Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:23:13Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:28:14Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:33:16Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:38:17Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:43:19Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:48:20Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:53:22Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T05:58:23Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:03:25Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:08:26Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:13:28Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:18:29Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:23:31Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:28:32Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:33:34Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:38:35Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:43:37Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:48:38Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:53:40Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T06:58:41Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:03:43Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:08:45Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
2026-08-17T07:13:46Z | pass=true | health=healthy | sovereignty=sovereign | canary=allow/passed | sentinel_reachable=unknown | sentinel_error=none
